"","Nearby T21 Ratio"
"Acton",0.445
"Adams",0.302
"Amherst",0.226
"Andover",0.53
"Arlington",0.471
"Ashland",0.436
"Attleboro",0.482
"Belchertown",0.243
"Belmont",0.465
"Blackstone",0.451
"Boston",0.49
"Braintree",0.495
"Brewster",0.38
"Bridgewater",0.526
"Brimfield",0.302
"Brockton",0.502
"Brookline",0.474
"Buckland",0.24
"Cambridge",0.483
"Canton",0.468
"Carver",0.547
"Charlemont",0.259
"Chelmsford",0.466
"Chelsea",0.503
"Cohasset",0.523
"Concord",0.452
"Danvers",0.56
"Dedham",0.455
"Deerfield",0.222
"Dover",0.441
"Duxbury",0.562
"Eastham",0.421
"Easton",0.495
"Egremont",0.316
"Essex",0.597
"Falmouth",0.385
"Foxborough",0.474
"Framingham",0.438
"Franklin",0.452
"Gill",0.214
"Gloucester",0.635
"Grafton",0.441
"Great Barrington",0.337
"Greenfield",0.221
"Hadley",0.219
"Hamilton",0.58
"Hanover",0.538
"Halifax",0.55
"Hatfield",0.225
"Holbrook",0.493
"Holyoke",0.221
"Hopedale",0.439
"Hudson",0.424
"Hull",0.51
"Kingston",0.56
"Lanesborough",0.312
"Lawrence",0.532
"Lee",0.309
"Lenox",0.315
"Leverett",0.22
"Lexington",0.462
"Lincoln",0.452
"Lowell",0.482
"Malden",0.495
"Mansfield",0.485
"Marblehead",0.557
"Marion",0.491
"Marlborough",0.427
"Marshfield",0.562
"Mashpee",0.385
"Maynard",0.438
"Medfield",0.447
"Medford",0.481
"Medway",0.448
"Melrose",0.497
"Mendon",0.441
"Methuen",0.524
"Middleton",0.545
"Millis",0.444
"Milford",0.438
"Milton",0.483
"Montague",0.217
"Natick",0.444
"Needham",0.444
"Newton",0.463
"Norfolk",0.455
"North Adams",0.315
"North Andover",0.538
"North Attleboro",0.465
"North Reading",0.522
"Northampton",0.221
"Northborough",0.436
"Norwell",0.533
"Norwood",0.455
"Orleans",0.381
"Peabody",0.544
"Pittsfield",0.312
"Plainville",0.466
"Provincetown",0.459
"Reading",0.503
"Randolph",0.49
"Rockport",0.621
"Salem",0.553
"Saugus",0.508
"Scituate",0.559
"Sharon",0.472
"Shelburne",0.226
"Sherborn",0.439
"Somerville",0.483
"South Hadley",0.219
"Southampton",0.23
"Southborough",0.429
"Southwick",0.234
"Stockbridge",0.33
"Stoneham",0.495
"Stoughton",0.488
"Sunderland",0.227
"Swampscott",0.538
"Tewksbury",0.497
"Topsfield",0.563
"Townsend",0.453
"Tyngsborough",0.474
"Wakefield",0.51
"Walpole",0.459
"Waltham",0.454
"Wareham",0.521
"Watertown",0.463
"Wayland",0.446
"Wellesley",0.451
"Westfield",0.238
"Westford",0.454
"Weston",0.446
"Westwood",0.448
"Whately",0.219
"Whitman",0.517
"Williamstown",0.321
"Wilmington",0.487
"Winchester",0.48
"Worcester",0.442
"Yarmouth",0.328
"Abington",0.517
"Acushnet",0.528
"Agawam",0.23
"Alford",0.35
"Amesbury",0.598
"Aquinnah",0.245
"Ashburnham",0.435
"Ashby",0.444
"Ashfield",0.242
"Athol",0.268
"Auburn",0.435
"Avon",0.493
"Ayer",0.454
"Barnstable",0.348
"Barre",0.358
"Becket",0.295
"Bedford",0.467
"Bellingham",0.459
"Berkley",0.53
"Berlin",0.444
"Bernardston",0.223
"Beverly",0.576
"Billerica",0.478
"Blandford",0.267
"Bolton",0.443
"Bourne",0.485
"Boxborough",0.443
"Boxford",0.571
"Boylston",0.457
"Brookfield",0.373
"Burlington",0.485
"Carlisle",0.462
"Charlton",0.417
"Chatham",0.382
"Cheshire",0.319
"Chester",0.272
"Chesterfield",0.246
"Chicopee",0.232
"Chilmark",0.245
"Clarksburg",0.326
"Clinton",0.457
"Colrain",0.24
"Conway",0.237
"Cummington",0.258
"Dalton",0.309
"Dartmouth",0.495
"Dennis",0.356
"Dighton",0.512
"Douglas",0.413
"Dracut",0.495
"Dudley",0.407
"Dunstable",0.456
"East Bridgewater",0.525
"East Brookfield",0.4
"East Longmeadow",0.229
"Easthampton",0.227
"Edgartown",0.294
"Erving",0.248
"Everett",0.498
"Fairhaven",0.505
"Fall River",0.515
"Fitchburg",0.455
"Florida",0.291
"Freetown",0.543
"Gardner",0.412
"Georgetown",0.574
"Goshen",0.242
"Gosnold",0.362
"Granby",0.229
"Granville",0.272
"Groton",0.457
"Groveland",0.571
"Hampden",0.241
"Hancock",0.341
"Hanson",0.546
"Hardwick",0.307
"Harvard",0.45
"Harwich",0.357
"Haverhill",0.561
"Hawley",0.272
"Heath",0.267
"Hingham",0.515
"Hinsdale",0.3
"Holden",0.447
"Holland",0.331
"Holliston",0.445
"Hopkinton",0.432
"Hubbardston",0.426
"Huntington",0.254
"Ipswich",0.596
"Lakeville",0.551
"Lancaster",0.452
"Leicester",0.435
"Leominster",0.459
"Leyden",0.238
"Littleton",0.447
"Longmeadow",0.231
"Ludlow",0.248
"Lunenburg",0.458
"Lynn",0.529
"Lynnfield",0.521
"Manchester-by-the-Sea",0.599
"Mattapoisett",0.5
"Merrimac",0.585
"Middleborough",0.551
"Middlefield",0.277
"Millbury",0.452
"Millville",0.445
"Monroe",0.309
"Monson",0.252
"Monterey",0.33
"Montgomery",0.242
"Mount Washington",0.304
"Nahant",0.529
"Nantucket",0.308
"New Ashford",0.333
"New Bedford",0.51
"New Braintree",0.351
"New Marlborough",0.333
"New Salem",0.268
"Newbury",0.593
"Newburyport",0.597
"North Brookfield",0.377
"Northbridge",0.439
"Northfield",0.225
"Norton",0.487
"Oak Bluffs",0.311
"Oakham",0.401
"Orange",0.248
"Otis",0.304
"Oxford",0.435
"Palmer",0.242
"Paxton",0.451
"Pelham",0.244
"Pembroke",0.553
"Pepperell",0.462
"Peru",0.287
"Petersham",0.317
"Phillipston",0.335
"Plainfield",0.265
"Plymouth",0.581
"Plympton",0.564
"Princeton",0.456
"Quincy",0.5
"Raynham",0.519
"Rehoboth",0.483
"Revere",0.51
"Richmond",0.349
"Rochester",0.542
"Rockland",0.517
"Rowe",0.278
"Rowley",0.59
"Royalston",0.269
"Russell",0.252
"Rutland",0.443
"Salisbury",0.607
"Sandisfield",0.323
"Sandwich",0.438
"Savoy",0.283
"Seekonk",0.471
"Sheffield",0.329
"Shirley",0.454
"Shrewsbury",0.449
"Shutesbury",0.235
"Somerset",0.534
"Southbridge",0.383
"Spencer",0.421
"Springfield",0.229
"Sterling",0.445
"Stow",0.438
"Sturbridge",0.374
"Sudbury",0.446
"Sutton",0.441
"Swansea",0.531
"Taunton",0.511
"Templeton",0.382
"Tisbury",0.328
"Tolland",0.298
"Truro",0.447
"Tyringham",0.316
"Upton",0.44
"Uxbridge",0.438
"Wales",0.289
"Ware",0.29
"Warren",0.316
"Warwick",0.253
"Washington",0.304
"Webster",0.415
"Wellfleet",0.444
"Wendell",0.236
"Wenham",0.571
"West Boylston",0.45
"West Bridgewater",0.52
"West Brookfield",0.355
"West Newbury",0.585
"West Springfield",0.23
"West Stockbridge",0.349
"West Tisbury",0.264
"Westborough",0.437
"Westhampton",0.241
"Westminster",0.439
"Westport",0.469
"Weymouth",0.51
"Wilbraham",0.247
"Williamsburg",0.235
"Winchendon",0.361
"Windsor",0.283
"Winthrop",0.51
"Woburn",0.485
"Worthington",0.261
"Wrentham",0.463
